"County","Precinct","CST","REP","DEM","LIB","GRE"
"CALDWELL","PR35",0,249,40,3,1
"GRANVILLE","WOEL",0,435,709,7,1
"MECKLENBURG","133",4,1975,1454,30,9
"MITCHELL","03",0,386,70,1,0
"BUNCOMBE","35.1",1,172,418,1,1
"JOHNSTON","TRANSFER",0,0,0,0,0
"MARTIN","ONE STOP EES",3,574,1304,7,5
"GUILFORD","G56",1,76,151,1,2
"WAKE","16-03",0,158,117,3,1
"PAMLICO","1GB",0,624,143,6,0
"ALAMANCE","125",2,931,692,9,1
"WAKE","08-11",1,284,210,17,2
"MECKLENBURG","006",2,214,1010,8,7
"BUNCOMBE","39.2",1,150,199,6,0
"NEW HANOVER","W03",0,103,498,16,5
"ALAMANCE","06S",5,1392,1029,21,3
"MECKLENBURG","013",5,559,1801,35,7
"WAKE","OSLH 121-128",0,4,4,0,0
"PITT","1001",0,409,201,10,2
"ASHE","02",3,773,208,10,2
"IREDELL","DV1-A",14,5450,2725,85,15
"SAMPSON","PLVW",2,1727,369,15,5
"MECKLENBURG","001",3,409,572,5,0
"LINCOLN","DN29",0,369,63,8,1
"JACKSON","RIV",2,388,219,8,0
"DARE","AVON",1,166,44,3,3
"FRANKLIN","14",6,2312,1279,44,9
"MECKLENBURG","124",2,205,1363,10,10
"DAVIDSON","68",1,704,471,8,2
"FORSYTH","131",3,1466,1349,33,6
"NORTHAMPTON","LASKER",0,78,7,0,0
"FRANKLIN","01",2,471,897,8,5
"RUTHERFORD","16A",3,1698,400,12,4
"DAVIE","09",0,1128,461,21,3
"GUILFORD","JEF2",2,142,175,6,3
"PASQUOTANK","MH",0,407,142,15,2
"WAKE","08-10",1,155,99,7,5
"WATAUGA","10",0,105,21,4,0
"MOORE","TRANSFER",0,0,0,0,0
"HAYWOOD","BE-4",1,822,337,13,0
"AVERY","12",0,110,6,1,0
"MONTGOMERY","BIS",4,550,538,7,4
"WAKE","01-49",1,167,281,18,1
"WAKE","07-07",1,261,216,11,3
"GASTON","27",5,2637,1429,39,4
"UNION","041",4,2315,1482,22,7
"MCDOWELL","N.COVE",1,526,145,6,0
"MECKLENBURG","051",3,634,1017,18,5
"MITCHELL","07",0,142,17,0,1
"MECKLENBURG","039",3,112,1448,17,11
"WILSON","PRWI",2,363,884,7,2
"DURHAM","13",0,8,159,1,2
"GASTON","40",3,2506,1245,19,5
"ALAMANCE","124",2,739,679,13,10
"DURHAM","29",0,174,178,1,2
"HARNETT","TRANSFER",0,0,0,0,0
"GUILFORD","G71",0,28,257,2,3
"WAKE","16-11",0,63,172,1,1
"MECKLENBURG","121",1,1448,1014,26,1
"MECKLENBURG","213",8,359,2629,12,10
"WAKE","20-08",1,307,196,14,2
"GUILFORD","H19A",1,42,129,1,2
"PITT","0401",1,239,241,3,0
"BUNCOMBE","63.1",0,152,85,3,0
"GUILFORD","H27-B",1,105,79,2,0
"ALAMANCE","03N",3,1197,1301,12,3
"FORSYTH","805",7,832,1222,19,3
"BLADEN","P75",0,94,93,0,0
"HALIFAX","CONC",0,39,54,1,0
"MONTGOMERY","LIT",0,371,49,5,0
"MECKLENBURG","052",2,128,1428,6,10
"SAMPSON","CLWE",1,901,508,7,0
"BUNCOMBE","06.1",0,96,394,3,1
"GUILFORD","H14",0,176,63,5,0
"AVERY","09",0,129,13,1,0
"SAMPSON","HARR",4,436,845,7,0
"UNION","029C",1,1360,749,17,6
"WAKE","07-06",3,219,120,16,3
"BEAUFORT","EDWAR",0,145,72,2,0
"BUNCOMBE","681",0,92,62,2,0
"BEAUFORT","WASHP",0,165,48,3,0
"YANCEY","01 BUR",3,1571,993,24,6
"GUILFORD","G08",0,72,195,3,0
"SURRY","01",1,266,35,4,0
"HERTFORD","BOE OFFICE",4,1599,3482,11,6
"FRANKLIN","09",1,799,411,9,2
"PITT","PROVISIONAL",2,254,342,11,5
"ASHE","09",6,1886,719,19,1
"CATAWBA","27",3,2446,607,27,4
"DAVIDSON","62",0,264,512,7,5
"LINCOLN","ST36",0,455,121,3,0
"AVERY","10",0,236,38,4,0
"GUILFORD","H23",0,113,54,2,0
"PAMLICO","2SW",1,233,101,3,1
"ORANGE","CS1",0,110,60,5,1
"BLADEN","P80",2,167,69,0,1
"CUMBERLAND","G2B",5,1097,1964,44,7
"FORSYTH","904",2,369,1335,16,5
"MECKLENBURG","138",2,420,1690,20,5
"WILSON","PRWL",5,960,964,22,2
"STANLY","0027",2,1528,474,7,2
"ONSLOW","ML23",1,621,241,12,0
"BURKE","0070",1,1400,535,9,1
"SURRY","25",0,268,46,2,0
"ASHE","07",0,201,71,4,0
"MONTGOMERY","PEE",0,809,189,5,0
"MARTIN","HS",0,24,36,0,0
"DARE","MH",1,171,35,4,0
"CARTERET","BFT1",1,529,695,8,3
"BRUNSWICK","10B",2,3241,2250,17,7
"DURHAM","40",1,27,96,1,0
"GUILFORD","SMAD",0,186,94,6,2
"WAYNE","ABSENTEE",12,2403,4379,66,20
"STANLY","0022",3,1274,321,6,2
"EDGECOMBE","1204",0,12,165,0,1
"MOORE","LTR",2,284,63,4,0
"ASHE","17",0,483,127,7,1
"MADISON","GRAPEV",3,574,277,8,2
"ORANGE","WH",0,103,126,7,2
"GUILFORD","G21",0,164,177,6,1
"RUTHERFORD","30",2,1440,1040,16,6
"ROWAN","04",9,2698,592,25,2
"WASHINGTON","LM",0,73,95,0,0
"DURHAM","44",3,157,121,4,1
"NORTHAMPTON","ABSENTEE",0,263,705,5,1
"CUMBERLAND","CC25",2,524,838,19,6
"EDGECOMBE","0901",0,263,49,2,0
"WAKE","01-39",0,92,128,15,1
"WILSON","PRWB",1,55,629,4,0
"ORANGE","SM",1,278,81,6,1
"NASH","P21A",2,94,203,2,0
"ORANGE","HE",1,88,40,2,2
"PASQUOTANK","WEST",0,66,167,7,2
"WAKE","19-16",0,208,132,5,1
"CARTERET","NPT2",6,1774,444,34,1
"LEE","C1",0,384,160,2,4
"WILSON","PRWA",0,103,491,3,2
"CHEROKEE","HANG",2,498,87,9,1
"BRUNSWICK","01",1,775,565,9,2
"CABARRUS","08-00",0,494,83,12,1
"CLEVELAND","S 4A",7,1827,1629,22,6
"WAKE","02-01",1,344,133,10,1
"PITT","ABSENTEE",18,2758,8379,96,35
"PITT","1506",0,71,131,3,0
"WAKE","01-47",2,212,89,6,2
"BURKE","0019",0,329,168,1,1
"DAVIDSON","04",9,3100,853,28,6
"MADISON","HOT SP",2,408,227,6,0
"CATAWBA","10",0,175,239,5,2
"GRANVILLE","SALM",2,766,697,9,2
"HENDERSON","OS ETOWAH",0,0,0,0,0
